Driveline,City mpg
All-wheel drive,18
Front-wheel drive,22
Front-wheel drive,21
All-wheel drive,21
All-wheel drive,21
All-wheel drive,16
All-wheel drive,17
All-wheel drive,13
All-wheel drive,14
All-wheel drive,22
All-wheel drive,21
All-wheel drive,17
Front-wheel drive,20
All-wheel drive,18
All-wheel drive,12
All-wheel drive,12
All-wheel drive,12
All-wheel drive,12
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,20
Rear-wheel drive,18
Rear-wheel drive,13
All-wheel drive,9
Rear-wheel drive,13
All-wheel drive,13
Rear-wheel drive,8
Rear-wheel drive,8
Rear-wheel drive,10
All-wheel drive,13
Rear-wheel drive,15
Rear-wheel drive,14
Rear-wheel drive,15
Rear-wheel drive,15
Rear-wheel drive,15
Rear-wheel drive,14
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,21
Rear-wheel drive,9
All-wheel drive,8
All-wheel drive,8
All-wheel drive,8
All-wheel drive,12
All-wheel drive,8
All-wheel drive,11
All-wheel drive,10
All-wheel drive,10
All-wheel drive,10
Front-wheel drive,19
Front-wheel drive,20
Front-wheel drive,19
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,21
All-wheel drive,20
Front-wheel drive,20
All-wheel drive,18
All-wheel drive,18
All-wheel drive,18
Front-wheel drive,19
All-wheel drive,15
All-wheel drive,16
Front-wheel drive,18
Front-wheel drive,21
All-wheel drive,20
Front-wheel drive,20
All-wheel drive,17
Front-wheel drive,18
All-wheel drive,16
Front-wheel drive,18
Front-wheel drive,18
All-wheel drive,17
All-wheel drive,16
All-wheel drive,16
Rear-wheel drive,17
Four-wheel drive,17
Four-wheel drive,17
Rear-wheel drive,17
Four-wheel drive,17
Front-wheel drive,16
All-wheel drive,14
Front-wheel drive,15
All-wheel drive,13
Front-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,17
Four-wheel drive,17
Four-wheel drive,17
Rear-wheel drive,17
Four-wheel drive,17
Front-wheel drive,21
Front-wheel drive,17
Front-wheel drive,21
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,19
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,22
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Front-wheel drive,21
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,19
Rear-wheel drive,18
Front-wheel drive,21
Rear-wheel drive,19
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,19
All-wheel drive,21
All-wheel drive,21
All-wheel drive,21
All-wheel drive,21
Front-wheel drive,29
Front-wheel drive,29
Front-wheel drive,29
Front-wheel drive,38
Front-wheel drive,28
Front-wheel drive,28
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,21
All-wheel drive,21
All-wheel drive,22
Front-wheel drive,21
All-wheel drive,20
All-wheel drive,21
All-wheel drive,21
All-wheel drive,23
Front-wheel drive,23
Front-wheel drive,22
Front-wheel drive,17
Front-wheel drive,23
Front-wheel drive,19
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,29
Front-wheel drive,29
Front-wheel drive,28
Front-wheel drive,28
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,19
Front-wheel drive,20
Front-wheel drive,20
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Rear-wheel drive,18
Front-wheel drive,19
Front-wheel drive,19
Front-wheel drive,19
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,20
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,20
Front-wheel drive,22
Front-wheel drive,20
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,23
Front-wheel drive,18
All-wheel drive,18
Front-wheel drive,20
All-wheel drive,17
Front-wheel drive,19
All-wheel drive,17
All-wheel drive,17
Front-wheel drive,19
Front-wheel drive,16
Front-wheel drive,16
Front-wheel drive,23
Front-wheel drive,18
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,19
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,19
Front-wheel drive,22
Front-wheel drive,19
Front-wheel drive,15
Front-wheel drive,16
All-wheel drive,16
All-wheel drive,17
Front-wheel drive,18
All-wheel drive,20
Front-wheel drive,21
All-wheel drive,8
All-wheel drive,10
All-wheel drive,10
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
All-wheel drive,11
All-wheel drive,10
All-wheel drive,10
Rear-wheel drive,9
Front-wheel drive,28
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,28
Front-wheel drive,26
Rear-wheel drive,13
All-wheel drive,21
All-wheel drive,20
Rear-wheel drive,11
Rear-wheel drive,11
All-wheel drive,21
All-wheel drive,21
Rear-wheel drive,11
All-wheel drive,21
All-wheel drive,21
All-wheel drive,22
All-wheel drive,18
All-wheel drive,21
Rear-wheel drive,11
Rear-wheel drive,13
Front-wheel drive,19
Rear-wheel drive,11
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,20
Front-wheel drive,23
Front-wheel drive,20
Rear-wheel drive,11
Rear-wheel drive,11
Rear-wheel drive,11
Front-wheel drive,23
Front-wheel drive,24
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,24
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,26
Front-wheel drive,22
Front-wheel drive,22
Rear-wheel drive,17
Four-wheel drive,15
Four-wheel drive,17
All-wheel drive,19
All-wheel drive,18
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,22
Front-wheel drive,23
Front-wheel drive,22
Front-wheel drive,22
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,30
Front-wheel drive,23
Front-wheel drive,23
Front-wheel drive,30
Rear-wheel drive,17
Four-wheel drive,15
Four-wheel drive,17
Front-wheel drive,20
Front-wheel drive,20
Four-wheel drive,17
Front-wheel drive,20
Front-wheel drive,18
Four-wheel drive,17
Front-wheel drive,18
Four-wheel drive,17
Front-wheel drive,20
Front-wheel drive,18
Four-wheel drive,17
Front-wheel drive,18
Four-wheel drive,17
Front-wheel drive,18
Four-wheel drive,17
Front-wheel drive,18
Four-wheel drive,17
Front-wheel drive,18
Front-wheel drive,18
Four-wheel drive,18
Four-wheel drive,13
Four-wheel drive,13
Front-wheel drive,26
Front-wheel drive,25
Front-wheel drive,21
Front-wheel drive,21
All-wheel drive,20
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Rear-wheel drive,10
Front-wheel drive,26
Front-wheel drive,25
Front-wheel drive,21
Front-wheel drive,21
All-wheel drive,20
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,25
Four-wheel drive,12
Four-wheel drive,12
Four-wheel drive,12
Rear-wheel drive,13
Rear-wheel drive,12
Rear-wheel drive,12
Front-wheel drive,23
Front-wheel drive,24
Front-wheel drive,23
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,24
Front-wheel drive,30
Front-wheel drive,27
Front-wheel drive,27
Front-wheel drive,25
Front-wheel drive,27
Front-wheel drive,25
Front-wheel drive,21
Front-wheel drive,21
Front-wheel drive,18
Front-wheel drive,17
All-wheel drive,16
All-wheel drive,18
Front-wheel drive,27
Front-wheel drive,27
Front-wheel drive,25
Front-wheel drive,27
Front-wheel drive,25
All-wheel drive,16
All-wheel drive,18
All-wheel drive,18
All-wheel drive,18
All-wheel drive,17
All-wheel drive,17
Four-wheel drive,12
Four-wheel drive,12
Rear-wheel drive,12
Rear-wheel drive,12
Rear-wheel drive,12
Four-wheel drive,12
All-wheel drive,16
All-wheel drive,16
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
Front-wheel drive,25
All-wheel drive,20
All-wheel drive,18
All-wheel drive,20
