Engine Information.Number of Forward Gears,Fuel Information.City mpg
6,18
6,22
6,21
6,21
6,21
6,16
6,17
6,13
6,14
6,22
6,21
6,17
6,20
6,18
6,12
6,12
6,12
6,12
5,18
5,18
4,18
5,18
5,18
4,18
5,18
5,20
4,18
4,13
4,9
4,13
4,13
6,8
6,8
4,10
4,13
4,15
4,14
4,15
4,15
4,15
4,14
6,18
6,18
6,18
6,21
5,21
5,21
6,21
6,9
6,8
6,8
6,8
6,12
6,8
6,11
6,10
6,10
6,10
5,19
6,20
5,19
5,21
5,21
5,21
6,20
6,20
6,18
6,18
6,18
6,19
6,15
6,16
6,18
5,21
6,20
5,20
6,17
6,18
6,16
6,18
6,18
6,17
6,16
6,16
5,17
5,17
5,17
5,17
5,17
6,16
6,14
6,15
6,13
6,18
4,18
5,17
5,17
5,17
5,17
5,17
6,21
6,17
5,21
5,22
5,21
5,19
5,22
5,21
5,22
6,18
7,18
6,18
7,18
6,18
6,18
7,18
7,18
6,21
6,18
6,18
7,19
6,18
6,21
7,19
6,18
6,18
7,19
6,21
8,21
6,21
8,21
5,29
5,29
5,29
5,38
5,28
5,28
5,21
6,21
5,21
6,21
6,21
6,22
5,21
5,20
8,21
8,21
6,23
5,23
5,22
6,17
5,23
5,19
5,22
5,22
5,29
5,29
5,28
5,28
5,22
5,21
5,22
5,21
5,22
5,21
5,22
5,21
5,19
6,20
6,20
7,18
7,18
6,18
6,18
6,19
6,19
6,19
6,22
6,22
6,22
6,22
6,20
6,22
6,22
6,20
6,22
6,20
5,26
5,26
5,25
4,25
5,25
4,25
5,25
4,25
4,25
5,24
4,24
5,24
4,24
5,24
4,24
5,24
4,24
6,23
6,18
6,18
6,20
6,17
6,19
6,17
6,17
6,19
6,16
6,16
6,23
6,18
6,22
6,22
6,22
6,22
6,19
6,22
6,22
6,19
6,22
6,19
6,15
6,16
6,16
6,17
6,18
5,20
5,21
6,8
6,10
6,10
5,24
4,24
5,24
4,24
6,11
6,10
6,10
6,9
5,28
4,26
