Make,Highway mpg
Audi,25
Audi,28
Audi,30
Audi,28
Audi,28
Audi,27
Audi,26
Audi,18
Audi,20
Audi,30
Audi,27
Audi,26
Acura,29
Acura,26
BMW,17
BMW,17
BMW,17
BMW,17
Chevrolet,25
Chevrolet,25
Chevrolet,25
Chevrolet,25
Chevrolet,25
Chevrolet,25
Chevrolet,25
Chevrolet,26
Chevrolet,25
Chevrolet,18
Chevrolet,12
Chevrolet,17
Chevrolet,17
Chevrolet,12
Chevrolet,12
Chevrolet,13
Chevrolet,17
Chevrolet,20
Chevrolet,19
Chevrolet,20
Chevrolet,20
Chevrolet,20
Chevrolet,19
Nissan,26
Nissan,26
Nissan,26
Volvo,29
Volvo,30
Volvo,30
Volvo,29
Bentley,15
Bentley,14
Bentley,14
Bentley,14
Bentley,19
Bentley,13
Bentley,19
Bentley,17
Bentley,17
Bentley,17
Volvo,28
Volvo,28
Volvo,28
Volvo,29
Volvo,30
Volvo,30
Volvo,27
Volvo,30
Volvo,26
Volvo,26
Volvo,26
Volvo,27
Volvo,22
Volvo,24
Volvo,27
Volvo,30
Volvo,26
Volvo,31
Volvo,22
Volvo,25
Volvo,21
Volvo,27
Volvo,25
Volvo,22
Volvo,21
Volvo,22
Toyota,23
Toyota,22
Toyota,22
Toyota,23
Toyota,22
Volvo,22
Volvo,21
Volvo,22
Volvo,19
Volvo,27
Toyota,23
Toyota,23
Toyota,22
Toyota,22
Toyota,23
Toyota,22
Audi,30
Honda,25
Honda,31
Honda,31
Honda,31
Honda,28
Honda,31
Honda,31
Honda,31
Nissan,25
Nissan,25
Nissan,25
Nissan,25
Nissan,25
Nissan,25
Nissan,25
Nissan,25
Audi,30
Nissan,26
Nissan,26
Nissan,26
Nissan,26
Audi,30
Nissan,26
Nissan,26
Nissan,26
Nissan,26
Audi,31
Audi,29
Audi,31
Audi,29
Ford,38
Ford,38
Ford,38
Ford,37
Ford,37
Ford,37
Volvo,30
Volvo,29
Volvo,30
Volvo,29
Audi,27
Audi,30
Volvo,29
Volvo,27
Audi,29
Audi,29
Audi,30
Honda,32
Honda,33
Honda,26
Honda,32
Honda,29
Honda,33
Honda,33
Ford,38
Ford,38
Ford,37
Ford,37
Honda,31
Honda,31
Honda,31
Honda,31
Honda,31
Honda,31
Honda,31
Honda,31
Honda,29
Toyota,29
Toyota,29
Nissan,26
Nissan,26
Nissan,26
Nissan,26
Toyota,28
Toyota,28
Toyota,28
Toyota,33
Toyota,32
Toyota,33
Toyota,32
Toyota,29
Toyota,33
Toyota,32
Toyota,29
Toyota,32
Toyota,29
Ford,36
Ford,36
Ford,35
Ford,34
Ford,35
Ford,34
Ford,35
Ford,34
Ford,34
Ford,35
Ford,34
Ford,35
Ford,34
Ford,35
Ford,34
Ford,35
Ford,34
Nissan,31
Nissan,27
Volvo,26
Volvo,29
Volvo,23
Volvo,25
Volvo,23
Volvo,23
Volvo,25
Volvo,23
Volvo,23
Nissan,32
Nissan,27
Toyota,33
Toyota,32
Toyota,33
Toyota,32
Toyota,28
Toyota,33
Toyota,32
Toyota,28
Toyota,32
Toyota,28
Volvo,22
Volvo,22
Volvo,21
Volvo,22
Volvo,25
Volvo,26
Volvo,30
Bentley,14
Bentley,17
Bentley,17
Ford,35
Ford,34
Ford,35
Ford,34
Bentley,18
Bentley,17
Bentley,17
Bentley,15
Toyota,35
Toyota,34
Toyota,34
Toyota,35
Toyota,34
Rolls-Royce,20
Audi,29
Audi,26
Rolls-Royce,18
Rolls-Royce,18
Audi,31
Audi,29
Rolls-Royce,18
Audi,29
Audi,31
Audi,30
Audi,27
Audi,27
Rolls-Royce,18
Rolls-Royce,20
Honda,29
Rolls-Royce,18
Honda,33
Honda,34
Honda,34
Honda,34
Honda,33
Honda,34
Honda,30
Honda,34
Honda,30
Rolls-Royce,18
Rolls-Royce,18
Rolls-Royce,18
Volkswagen,33
Volkswagen,31
Volkswagen,29
Volkswagen,29
Volkswagen,31
Volkswagen,31
Volkswagen,34
Volkswagen,31
Volkswagen,33
Volkswagen,33
Volkswagen,33
Volkswagen,34
Toyota,35
Toyota,34
Toyota,35
Toyota,34
Toyota,34
Toyota,34
Toyota,30
Toyota,30
Toyota,22
Toyota,20
Toyota,21
Audi,28
Audi,26
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,30
Volkswagen,31
Volkswagen,31
Volkswagen,41
Volkswagen,30
Volkswagen,30
Volkswagen,41
Toyota,22
Toyota,19
Toyota,21
Toyota,25
Toyota,25
Toyota,22
Toyota,25
Toyota,24
Toyota,22
Toyota,24
Toyota,22
Toyota,27
Toyota,24
Toyota,23
Toyota,24
Toyota,23
Toyota,24
Toyota,23
Toyota,24
Toyota,23
Honda,27
Honda,27
Honda,26
Toyota,18
Toyota,18
Toyota,32
Toyota,32
Toyota,28
Toyota,29
Toyota,26
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Maybach,16
Toyota,32
Toyota,31
Toyota,28
Toyota,29
Toyota,26
Toyota,28
Toyota,29
Nissan,31
Nissan,18
Nissan,18
Nissan,18
Nissan,19
Nissan,18
Nissan,18
Volkswagen,33
Volkswagen,31
Volkswagen,33
Volkswagen,31
Volkswagen,31
Volkswagen,31
Volkswagen,42
Chevrolet,35
Chevrolet,35
Chevrolet,34
Chevrolet,35
Chevrolet,34
Volkswagen,31
Volkswagen,31
Volkswagen,27
Volkswagen,25
Audi,24
Audi,26
Chevrolet,35
Chevrolet,35
Chevrolet,34
Chevrolet,35
Chevrolet,34
Audi,23
Audi,26
Audi,26
Audi,28
Audi,27
Audi,27
Nissan,18
Nissan,18
Nissan,18
Nissan,18
Nissan,18
Nissan,18
Audi,23
Audi,23
Nissan,30
Nissan,30
Nissan,30
Nissan,30
Audi,27
Audi,23
Audi,27
Audi,23
Honda,27
Honda,27
Honda,25
Audi,23
Audi,23
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,36
Honda,29
Audi,22
Audi,22
Audi,25
Lamborghini,20
Chevrolet,35
Chevrolet,35
Chevrolet,34
Chevrolet,35
Chevrolet,34
Lexus,24
Lexus,23
Lexus,24
Lexus,23
Lamborghini,20
Lamborghini,20
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Lexus,24
Lexus,23
Lexus,24
Lexus,23
Hyundai,36
Hyundai,34
Hyundai,34
Hyundai,34
Hyundai,36
Hyundai,34
Hyundai,36
Hyundai,34
Hyundai,36
Hyundai,36
Hyundai,40
Hyundai,40
Hyundai,36
Hyundai,34
Hyundai,34
Hyundai,36
Hyundai,28
Hyundai,27
Hyundai,26
Hyundai,26
Audi,22
Audi,22
Audi,25
Audi,19
Audi,25
Audi,18
Toyota,28
Toyota,27
Toyota,27
Toyota,26
Toyota,28
Toyota,27
Toyota,27
Toyota,26
Toyota,28
Toyota,27
Toyota,27
Toyota,26
Nissan,29
Nissan,29
Volvo,30
Chevrolet,28
Chevrolet,30
Chevrolet,28
Chevrolet,30
Chevrolet,24
Chevrolet,24
Chevrolet,24
Chevrolet,24
Nissan,31
Nissan,31
Chevrolet,28
Chevrolet,30
Chevrolet,28
Chevrolet,30
Chevrolet,24
Chevrolet,24
Chevrolet,24
Chevrolet,25
Mercedes,26
Mercedes,26
Mercedes,25
BMW Motorrad,27
BMW,26
BMW,26
BMW Motorrad,28
Chevrolet,28
Chevrolet,30
Chevrolet,28
Chevrolet,30
Chevrolet,24
Chevrolet,24
Chevrolet,24
Chevrolet,24
Chevrolet,28
Chevrolet,29
Mercedes,19
Mercedes,26
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,40
Hyundai,34
Hyundai,34
Hyundai,34
Hyundai,34
Hyundai,34
Ford,32
Ford,33
Ford,33
Ford,28
Ford,33
Ford,28
Ford,19
Ford,27
Ford,25
Volkswagen,31
Volkswagen,31
Volkswagen,31
Ford,29
Ford,33
Ford,29
Ford,33
Ford,21
Ford,19
Ford,27
Ford,24
Ford,21
Ford,33
Ford,31
Ford,34
Ford,29
Ford,27
Ford,31
Ford,20
Ford,18
Ford,27
Ford,24
Ford,31
Kia,34
Kia,36
Kia,36
Kia,32
Audi,25
Kia,34
Kia,36
Kia,32
Kia,32
Kia,33
Kia,34
Kia,32
Kia,31
Audi,20
Audi,19
Kia,34
Kia,34
Kia,34
Kia,34
Kia,36
Kia,32
Kia,31
Audi,20
Audi,19
Hyundai,30
Hyundai,31
Hyundai,31
Hyundai,30
Hyundai,31
Hyundai,30
Hyundai,30
Hyundai,31
Hyundai,31
Hyundai,30
Hyundai,31
Hyundai,30
Hyundai,31
Hyundai,30
Hyundai,24
Hyundai,24
Hyundai,26
Hyundai,29
Hyundai,26
Kia,34
Kia,34
Kia,32
Kia,31
Kia,35
Kia,34
Kia,34
Kia,34
Kia,34
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,29
Kia,40
Kia,32
Kia,32
Kia,32
Kia,28
Kia,32
Kia,28
Kia,34
Kia,36
Kia,36
Hyundai,27
Hyundai,25
Hyundai,25
Hyundai,27
Hyundai,30
Hyundai,26
Hyundai,27
Hyundai,30
Hyundai,30
Hyundai,26
Hyundai,27
Hyundai,30
Hyundai,30
Hyundai,30
Hyundai,30
Hyundai,27
Hyundai,26
Hyundai,30
Hyundai,26
Hyundai,27
Hyundai,30
Hyundai,27
Hyundai,27
Hyundai,30
Hyundai,30
Hyundai,30
Hyundai,26
Hyundai,27
Hyundai,26
Hyundai,30
Hyundai,26
Hyundai,30
AMG,19
Volkswagen,31
Volkswagen,31
Ford,29
Ford,31
Ford,29
Ford,31
Ford,26
Ford,25
Ford,26
Ford,25
Ford,26
Mercedes,25
Ford,30
Ford,30
Ford,30
Ford,30
Ford,30
Ford,25
Ford,30
Ford,25
Ford,29
Ford,30
Ford,29
Ford,30
Ford,26
Ford,25
Ford,26
Ford,25
Ford,29
Ford,31
Ford,29
Ford,31
Ford,26
Ford,25
Ford,26
Ford,25
Mercedes,26
AMG,19
Mercedes,25
Mercedes,26
Mercedes,25
Mercedes,19
Kia,36
Kia,36
Kia,34
Kia,36
Kia,34
Kia,36
Volkswagen,31
Kia,34
Kia,34
Kia,36
Kia,34
Kia,36
Kia,31
Kia,30
Kia,30
Kia,30
Kia,30
Chevrolet,28
Chevrolet,30
Chevrolet,29
Chevrolet,28
Chevrolet,30
Chevrolet,28
Chevrolet,30
Chevrolet,24
Chevrolet,25
Chevrolet,24
Chevrolet,25
Ford,26
Ford,24
Ford,26
Ford,24
Ford,24
Ford,23
Ford,24
Ford,23
Kia,31
Kia,30
Kia,30
Kia,30
Kia,30
Kia,30
Kia,30
Ford,26
Ford,24
Ford,26
Ford,24
Ford,24
Ford,23
Ford,24
Ford,23
Audi,20
Audi,19
Kia,25
Kia,25
Ford,23
Ford,23
Ford,23
Ford,23
Ford,23
Ford,22
Kia,25
Kia,25
Kia,23
Kia,23
Kia,23
Audi,20
Volkswagen,31
Audi,19
Kia,27
Kia,29
Kia,27
Kia,26
Kia,24
Kia,32
Kia,28
Kia,26
Kia,24
Kia,26
Kia,24
Audi,27
Chevrolet,29
Chevrolet,29
Chevrolet,29
Chevrolet,29
Chevrolet,29
Chevrolet,29
Chevrolet,24
Chevrolet,25
Chevrolet,24
Chevrolet,25
Audi,27
Kia,27
Kia,29
Kia,27
Kia,26
Kia,24
Kia,29
Kia,27
Kia,26
Kia,24
Kia,26
Kia,24
Kia,29
Kia,32
Kia,28
Kia,32
Kia,28
Kia,29
Kia,26
Volkswagen,41
Volkswagen,30
Volkswagen,30
Kia,29
Kia,31
Kia,28
Kia,31
Kia,28
Kia,27
Kia,25
Audi,27
Kia,25
Kia,25
Kia,24
Kia,23
Kia,23
Kia,23
Kia,23
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,34
Honda,36
Honda,29
Honda,36
Nissan,22
Nissan,22
Nissan,20
Nissan,20
Nissan,22
Nissan,20
Nissan,22
Nissan,18
Nissan,20
Hyundai,28
Hyundai,26
Hyundai,26
Hyundai,26
Hyundai,25
Hyundai,26
Hyundai,28
Hyundai,26
Hyundai,26
Hyundai,26
Hyundai,26
Hyundai,26
Hyundai,27
Hyundai,28
Hyundai,26
Hyundai,26
Hyundai,28
Hyundai,26
Ford,28
Ford,27
Ford,26
Ford,27
Ford,26
Ford,28
Ford,27
Ford,25
Ford,27
Ford,25
Ford,28
Ford,27
Ford,25
Ford,27
Ford,25
Volkswagen,30
Volkswagen,41
Volkswagen,33
Volkswagen,31
Volkswagen,42
Ford,26
Ford,26
Ford,26
Ford,26
Ford,26
Ford,25
Ford,23
Volkswagen,31
Volkswagen,42
Audi,24
Audi,22
Ford,27
Ford,27
Ford,25
Ford,27
Ford,25
Ford,26
Ford,23
Ford,25
Ford,23
Ford,25
Ford,23
Ford,25
Ford,23
Ford,25
Ford,23
Audi,24
Audi,22
Ford,30
Ford,30
Ford,30
Audi,24
Audi,22
Audi,21
Audi,19
Honda,34
Honda,36
